Agency,SiteNumber,Date,Groundwater_in_FeetBelowLandSurface,StationName,Latitude,Longitude,CoordinateAccuracy,CoordinateDatum,CountyCode,LandSurface_or_GageAltitude
USGS,3.63442E+14,10/19/2021,11.88,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/20/2021,11.9,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/21/2021,11.93,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/22/2021,11.94,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/23/2021,11.92,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/24/2021,11.9,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/25/2021,11.83,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/26/2021,11.7,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/27/2021,11.6,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/28/2021,11.53,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/29/2021,11.56,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/30/2021,11.53,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,10/31/2021,11.61,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,11/1/2021,11.64,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,11/2/2021,11.63,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,11/3/2021,11.62,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,11/4/2021,11.63,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,11/5/2021,11.65,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,11/6/2021,11.66,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,11/7/2021,11.68,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,11/8/2021,11.71,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
